cod_jugador,nombre,cod_equipo,pierna,altura,pais,codigo_fifa
1,Kylian Mbappé,1,Right,"182cm / 6'0""",France,231747
2,Rodri,2,Right,"191cm / 6'3""",Spain,231866
3,Erling Haaland,2,Left,"195cm / 6'5""",Norway,239085
4,Jude Bellingham,1,Right,"186cm / 6'1""",England,252371
5,Vini Jr.,1,Right,"176cm / 5'9""",Brazil,238794
6,Kevin De Bruyne,2,Right,"181cm / 5'11""",Belgium,192985
7,Harry Kane,3,Right,"188cm / 6'2""",England,202126
8,Martin Ødegaard,4,Left,"178cm / 5'10""",Norway,222665
9,Gianluigi Donnarumma,5,Right,"196cm / 6'5""",Italy,230621
10,Alisson,6,Right,"193cm / 6'4""",Brazil,212831
11,Thibaut Courtois,1,Left,"200cm / 6'7""",Belgium,192119
12,Lautaro Martínez,7,Right,"174cm / 5'9""",Argentina,231478
13,Virgil van Dijk,6,Right,"193cm / 6'4""",Holland,203376
14,Marc-André ter Stegen,8,Right,"187cm / 6'2""",Germany,192448
15,Mohamed Salah,6,Left,"175cm / 5'9""",Egypt,209331
16,Phil Foden,2,Left,"171cm / 5'7""",England,237692
17,Lionel Messi,9,Left,"169cm / 5'7""",Argentina,158023
18,Antoine Griezmann,10,Left,"176cm / 5'9""",France,194765
19,Rúben Dias,2,Right,"187cm / 6'2""",Portugal,239818
20,Robert Lewandowski,8,Right,"185cm / 6'1""",Poland,188545
21,Federico Valverde,1,Right,"182cm / 6'0""",Uruguay,239053
22,Ederson,2,Left,"188cm / 6'2""",Brazil,210257
23,Bernardo Silva,2,Left,"173cm / 5'8""",Portugal,218667
24,Jan Oblak,10,Right,"188cm / 6'2""",Slovenia,200389
25,Antonio Rüdiger,1,Right,"190cm / 6'3""",Germany,205452
26,Florian Wirtz,11,Right,"177cm / 5'10""",Germany,256630
27,Gregor Kobel,12,Right,"195cm / 6'5""",Switzerland,235073
28,William Saliba,4,Right,"193cm / 6'4""",France,243715
29,Victor Osimhen,13,Right,"186cm / 6'1""",Nigeria,232293
30,Jamal Musiala,3,Right,"184cm / 6'0""",Germany,256790
31,Bukayo Saka,4,Left,"178cm / 5'10""",England,246669
32,Paulo Dybala,14,Left,"177cm / 5'10""",Argentina,211110
33,Theo Hernández,15,Left,"184cm / 6'0""",France,232656
34,Neymar Jr,16,Right,"175cm / 5'9""",Brazil,190871
35,Declan Rice,4,Right,"185cm / 6'1""",England,234378
36,Frenkie de Jong,8,Right,"181cm / 5'11""",Holland,228702
37,Mike Maignan,15,Right,"191cm / 6'3""",France,215698
38,Bruno Fernandes,17,Right,"179cm / 5'10""",Portugal,212198
39,Heung Min Son,18,Right,"183cm / 6'0""",Korea Republic,200104
40,Marquinhos,5,Right,"183cm / 6'0""",Brazil,207865
41,Alessandro Bastoni,7,Left,"190cm / 6'3""",Italy,237383
42,İlkay Gündoğan,2,Right,"180cm / 5'11""",Germany,186942
43,Emiliano Martínez,19,Right,"195cm / 6'5""",Argentina,202811
44,Nicolò Barella,7,Right,"172cm / 5'8""",Italy,224232
45,Yann Sommer,7,Right,"183cm / 6'0""",Switzerland,177683
46,Cristiano Ronaldo,20,Right,"187cm / 6'2""",Portugal,20801
47,Gabriel,4,Left,"190cm / 6'3""",Brazil,232580
48,Granit Xhaka,11,Left,"186cm / 6'1""",Switzerland,199503
49,Rodrygo,1,Right,"174cm / 5'9""",Brazil,243812
50,João Cancelo,16,Right,"182cm / 6'0""",Portugal,210514
51,Rafael Leão,15,Right,"188cm / 6'2""",Portugal,241721
52,Grimaldo,11,Left,"171cm / 5'7""",Spain,210035
53,Luka Modrić,1,Right,"172cm / 5'8""",Croatia,177003
54,Alexis Mac Allister,6,Right,"176cm / 5'9""",Argentina,239837
55,Carvajal,1,Right,"173cm / 5'8""",Spain,204963
56,Ousmane Dembélé,5,Left,"178cm / 5'10""",France,231443
57,Trent Alexander-Arnold,6,Right,"180cm / 5'11""",England,231281
58,Pedri,8,Right,"174cm / 5'9""",Spain,251854
59,Jonathan Tah,11,Right,"195cm / 6'5""",Germany,213331
60,Karim Benzema,21,Right,"185cm / 6'1""",France,165153
61,Bremer,22,Right,"187cm / 6'2""",Brazil,239580
62,Joshua Kimmich,3,Right,"177cm / 5'10""",Germany,212622
63,Unai Simón,23,Right,"190cm / 6'3""",Spain,230869
