id,liga,pais
1,LALIGA EA SPORTS,España
2,Premier League,Inglaterra
3,Bundesliga,Alemania
4,Ligue 1 McDonald's,Francia
5,Serie A Enilive,Italia
6,MLS,Estados Unidos
7,ROSHN Saudi League,Arabia Saudita
8,Liga Portugal,Portugal
9,Libertadores,Sudamérica
10,Serie BKT,Italia
11,Trendyol Süper Lig,Turquía
12,Eredivisie,Países Bajos
13,1A Pro League,Bélgica
14,Liga Hrvatska,Croacia
15,Scottish Prem,Escocia
16,Primera División,España
17,Hellas Liga,Grecia
18,United Emirates League,Emiratos Árabes Unidos
19,Česká Liga,República Checa
20,Magyar Liga,Hungría
21,CSL,China
22,Sudamericana,Sudamérica
23,Ukrayina Liha,Ucrania
24,LALIGA HYPERMOTION,España
25,Ö. Bundesliga,Austria
26,EFL Championship,Inglaterra
27,Ligue 2 BKT,Francia
28,Liga Colombia,Colombia
29,Bundesliga 2,Alemania
30,Eliteserien,Noruega
31,3F Superliga,Dinamarca
32,K League 1,Corea del Sur
33,CSSL,India
34,PKO BP Ekstraklasa,Polonia
35,A-League,Australia
36,Allsvenskan,Suecia
37,Liga Cyprus,Chipre
38,Liga Azerbaijan,Azerbaiyán
39,SUPERLIGA,Serbia
40,EFL League One,Inglaterra
41,ISL,India
42,3. Liga,Alemania
43,SSE Airtricity PD,Irlanda
44,EFL League Two,Inglaterra
45,Finnliiga,Finlandia
